0,1,2,Label,id,indegree
3216966611.0,hyejin_youn,108.0,,,
1540384460.0,martijnheuv,6.0,,,
2335431.0,yy,337.0,,,
4844847993.0,BovetAlexandre,84.0,,,
1512280484.0,phihoevel,66.0,,,
97564868.0,arcos_oliveira,322.0,,,
2872512304.0,Eliz_Hobson,62.0,,,
2316561068.0,ML_Ouellet,46.0,,,
37535954.0,o16granados,137.0,,,
2218303021.0,RERobertson,16.0,,,
77712285.0,a_baronca,175.0,,,
111402243.0,manishsaggar,85.0,,,
1.0856571396355154e+18,sathayas42,41.0,,,
13731562.0,DGaff,61.0,,,
2540514931.0,ConnectomeLab,42.0,,,
468499498.0,mrfrank5790,107.0,,,
1.120621201376854e+18,nerdsitu,107.0,,,
24499773.0,dgleich,19.0,,,
3154718333.0,JmBuldu,74.0,,,
7.482269029309194e+17,biorxiv_neursci,0.0,,,
9.508447136570941e+17,mjdramstead,20.0,,,
9.147874062509875e+17,bayrameda_ee,38.0,,,
116297274.0,coronges,91.0,,,
3728141775.0,mripapers,0.0,,,
724293313.0,neurogeneticus,1.0,,,
4120580026.0,siobhan_grayson,77.0,,,
1080753187.0,NatureNeuro,7.0,,,
4549648582.0,ari_e_kahn,21.0,,,
1.0025357495463363e+18,perryzurn,5.0,,,
3325105445.0,BenFMaier,157.0,,,
1467127267.0,drmichaellevin,23.0,,,
1329752491.0,_jgyou,206.0,,,
3301163090.0,compTimeSeries,10.0,,,
77990334.0,JariSaramaki,323.0,,,
381746423.0,bansallab,88.0,,,
155636227.0,gleesonj,222.0,,,
7.542733662074962e+17,gershbrain,0.0,,,
2427351685.0,richardfbetzel,157.0,,,
7.580396464546365e+17,netneurosci,21.0,,,
2648408096.0,jgonicor,192.0,,,
398398588.0,baruchbarzel,82.0,,,
14543336.0,mexicolindo,116.0,,,
1642585022.0,PhilChodrow,128.0,,,
2264082385.0,HarrisonHartle,154.0,,,
628967454.0,brucedesmarais,175.0,,,
1.0910129932850053e+18,netsci4sg,11.0,,,
2424151074.0,spornslab,122.0,,,
2338824692.0,YINSedge,111.0,,,
365002580.0,nvchawla,17.0,,,
8.166460644931707e+17,neurodynamicsFR,25.0,,,
323439357.0,aivoAALTO,38.0,,,
579143740.0,az_jacobs,113.0,,,
347886653.0,samfway,81.0,,,
15160540.0,noshir,154.0,,,
34249543.0,jsradford,208.0,,,
582233920.0,all_are,168.0,,,
839011723.0,TammyKolda,18.0,,,
301579658.0,ChrisDanforth,35.0,,,
26419626.0,bagrow,92.0,,,
7.8279571198942e+17,epj_ds,69.0,,,
4515151.0,p_barbera,80.0,,,
11778512.0,masonporter,0.0,,,
7.937171062567731e+17,lucasfindslinks,155.0,,,
712963903.0,SophieDBsjr,24.0,,,
103973912.0,CompleNet,0.0,,,
103370610.0,juniperlov,226.0,,,
490512649.0,LHDnets,213.0,,,
800351666.0,giosifid,14.0,,,
352013269.0,beenwrekt,0.0,,,
322347431.0,AFornito,104.0,,,
1886566261.0,claragranell,70.0,,,
48417486.0,ronaldomenezes,167.0,,,
7.120165775672648e+17,kcore_analytics,123.0,,,
1522281432.0,hutchkelley5,200.0,,,
434383401.0,jelenagrr,112.0,,,
2727517511.0,CantlonLab,12.0,,,
109533154.0,criedl,82.0,,,
35467792.0,vcolizza,99.0,,,
8.79070005844992e+17,gin_bianconi,64.0,,,
2770143649.0,jffmendes,65.0,,,
82566863.0,lordgrilo,255.0,,,
34721078.0,cerenbudak,70.0,,,
473353790.0,compstorylab,24.0,,,
487381183.0,PiratePeel,159.0,,,
19819769.0,eegilbert,17.0,,,
317422543.0,ricard_sole,115.0,,,
27047369.0,cesifoti,205.0,,,
373682248.0,HirokiSayama,172.0,,,
1979287862.0,DanLarremore,97.0,,,
1.019337134120063e+18,QuantBiology,9.0,,,
90258002.0,sfiscience,137.0,,,
1149541562.0,ComplexExplorer,116.0,,,
7.517342840927928e+17,arxiv_org,0.0,,,
416374176.0,bdanubius,31.0,,,
3096625956.0,LetsWorkHappy,417.0,,,
902498275.0,NUlabTMN,25.0,,,
8.359535696689398e+17,CompSysSoc,45.0,,,
255048621.0,robysinatra,360.0,,,
15008596.0,bgoncalves,109.0,,,
445315503.0,mkitsak,132.0,,,
8.803695218439864e+17,F_DeVicoFallani,70.0,,,
372689892.0,MartonKarsai,115.0,,,
9.727564850663711e+17,funwithnetworks,58.0,,,
9.203436269071155e+17,WarrenCntrPenn,13.0,,,
74956332.0,mattk7,377.0,,,
229910053.0,cxdig,461.0,,,
1704085728.0,YR_CSS,128.0,,,
217771939.0,mszll,325.0,,,
46477409.0,Northeastern,12.0,,,
18810779.0,Karhe,52.0,,,
299603744.0,msantolini,158.0,,,
1546977270.0,DirkBrockmann,238.0,,,
486530534.0,Scott_E_Page,32.0,,,
368379922.0,uvmcomplexity,97.0,,,
187521608.0,OSoMe_IU,76.0,,,
19402238.0,ScienceNews,3.0,,,
593041510.0,Sys_innovation,608.0,,,
9.311796131785155e+17,adilson_motter,343.0,,,
377491711.0,badnetworker,86.0,,,
8.315783658868859e+17,NDGannenberg,40.0,,,
490363356.0,santo_fortunato,6.0,,,
1954278132.0,NICOatNU,99.0,,,
925988665.0,DaniSBassett,176.0,,,
15045590.0,clauwa,284.0,,,
8143682.0,jure,22.0,,,
788363167.0,NAChristakis,39.0,,,
2329921.0,ladamic,35.0,,,
30706856.0,pholme,258.0,,,
833373624.0,foucaultwelles,135.0,,,
16191522.0,dashunwang,175.0,,,
37213193.0,davidlazer,234.0,,,
1423906682.0,TheRealShankar,378.0,,,
222050461.0,err45,101.0,,,
2837414492.0,sriniv_venkat,129.0,,,
8.990094945077617e+17,toastferry,197.0,,,
17270684.0,fusaroli,222.0,,,
3970895777.0,SDuranNebreda,40.0,,,
16330659.0,sgonzalezbailon,65.0,,,
1.2359619575150223e+18,aa_soc,28.0,,,
9.426721860321649e+17,sorianopanos,103.0,,,
15261050.0,leoguti85,81.0,,,
15658907.0,MLuczak,61.0,,,
9.832597373145743e+17,YijunRan,62.0,,,
18026546.0,ggeneraux,65.0,,,
1.0916885385869926e+18,CHens19756161,38.0,,,
3001907483.0,SrAleta,78.0,,,
8.01042537238696e+17,dnds_ceu,132.0,,,
1.2161507600792003e+18,sumofangles,72.0,,,
9.601380198430024e+17,martinrypdal,127.0,,,
76084600.0,goranmuric,121.0,,,
1307569508.0,sarayshai,318.0,,,
277532657.0,rohan_iitj,298.0,,,
3486259881.0,dougsrferreira,47.0,,,
740343523.0,nirajkkushwaha,124.0,,,
499054463.0,diliara_valeeva,216.0,,,
8.700035313355653e+17,drandrewrowe,33.0,,,
1.1797139566231142e+18,albe_bracci,229.0,,,
2488227390.0,_fduron,168.0,,,
110446125.0,pratha_sah,44.0,,,
8.690673651573064e+17,rcardenasheredi,177.0,,,
2895802438.0,FrontMathsStats,75.0,,,
1.1577339776056033e+18,_NJ_Roberts,67.0,,,
210328371.0,uarayon,20.0,,,
1.0833839328197714e+18,MFGevry,35.0,,,
7.920125473019945e+17,JoshuaSStinson,91.0,,,
297736294.0,andres_salaza,121.0,,,
7.902413100242289e+17,RachithAiyappa,138.0,,,
1.0577411241048474e+18,UVMCompSci,91.0,,,
2810956798.0,Antropocaos,89.0,,,
2507260668.0,tarunkumarsnu,96.0,,,
2896712975.0,ddiannae,49.0,,,
8.466974110996685e+17,FabBento,103.0,,,
3163055411.0,Abdullahrhmoun,145.0,,,
7.688847902925414e+17,HistPhilSci,98.0,,,
140753054.0,vishoza,50.0,,,
7.804292688660521e+17,alexpghayes,56.0,,,
138222192.0,ricardoI_,50.0,,,
7.540313789504512e+17,manuelmoreno454,75.0,,,
2911645708.0,ejdansu,60.0,,,
123842287.0,laeflu,22.0,,,
1.0041428410087547e+18,brookemariebell,17.0,,,
15464243.0,choux,106.0,,,
1953104810.0,KayseMaass,20.0,,,
1440886406.0,ZoltanElekes,69.0,,,
2742636202.0,balazsvedres,304.0,,,
54531975.0,ennnvvy,191.0,,,
166008261.0,jponnela,106.0,,,
1216521482.0,lgaalves,303.0,,,
112333725.0,n_kahmed,32.0,,,
2164757344.0,santosvtito,315.0,,,
7.786597917532201e+17,chakresh_iitgn,115.0,,,
1.1349609766950912e+18,CNWWs,216.0,,,
24016742.0,droneale,148.0,,,
240789781.0,MartLStein,32.0,,,
1834931742.0,qian_yifan,198.0,,,
9.629114290525184e+17,gdeandajauregui,145.0,,,
224814031.0,cyr_em,51.0,,,
1.011880954279981e+18,Herman_MSH,242.0,,,
1428700644.0,uclfincomp,100.0,,,
386025050.0,ryanqiwang,30.0,,,
1.0936818363271987e+18,NetSciX2020,265.0,,,
3246553077.0,YifangMa,134.0,,,
1.0062955267222036e+18,Madea_Zabi,118.0,,,
8.137254677568635e+17,randomGraphs,57.0,,,
444854831.0,saeedosat,103.0,,,
7559192.0,mr_sunshine,64.0,,,
197886036.0,sapiezynski,117.0,,,
89509276.0,Vivfiona,68.0,,,
