Target,Source
1070010671918665728,848539500167004160
1070010671918665728,814015332
1070010671918665728,1220359214884904965
1070010671918665728,382393
1070010671918665728,574364219
1070010671918665728,415906140
1070010671918665728,1524770221
1070010671918665728,934090570930286593
848539500167004160,257111136
848539500167004160,896094324341039104
848539500167004160,1070010671918665728
848539500167004160,885237745198747648
848539500167004160,848913193867124742
848539500167004160,82503888
848539500167004160,86523055
848539500167004160,321783625
848539500167004160,1367912887
848539500167004160,814274646
848539500167004160,60458714
848539500167004160,46152530
848539500167004160,1167145117452570626
848539500167004160,857326581701849088
848539500167004160,952270171124719616
848539500167004160,847127276
848539500167004160,562020929
848539500167004160,1067513782044368896
848539500167004160,2160138829
848539500167004160,285380882
848539500167004160,954335153723183104
848539500167004160,3837804028
848539500167004160,1072324469593563138
848539500167004160,564089684
848539500167004160,19714395
848539500167004160,16458709
848539500167004160,450742208
848539500167004160,770687821535449090
848539500167004160,1058470939
848539500167004160,877976768061243392
848539500167004160,17602404
848539500167004160,487705992
848539500167004160,827658288040861696
848539500167004160,816321694319181824
848539500167004160,1557533940
848539500167004160,958887670477975552
848539500167004160,1069045039
848539500167004160,1120789424118407168
848539500167004160,18247347
848539500167004160,901619517155151873
848539500167004160,2290819595
848539500167004160,1111238619002531840
848539500167004160,834514130035957775
848539500167004160,212640939
848539500167004160,43712315
848539500167004160,801932087850835968
848539500167004160,772310749
848539500167004160,79749258
848539500167004160,14403154
848539500167004160,824241575706427392
848539500167004160,263807286
848539500167004160,266372861
848539500167004160,160925047
848539500167004160,243804207
848539500167004160,318262821
848539500167004160,1045763448670486529
848539500167004160,3413263721
848539500167004160,18252261
848539500167004160,3352671022
848539500167004160,890863214690480129
848539500167004160,21719973
848539500167004160,1046598080
848539500167004160,833629111
848539500167004160,479672092
848539500167004160,54155948
848539500167004160,365059891
848539500167004160,1962699368
848539500167004160,814015332
848539500167004160,3386954115
848539500167004160,879170334578139140
848539500167004160,4099956119
848539500167004160,33315710
848539500167004160,2902126231
848539500167004160,4179767308
848539500167004160,62621489
848539500167004160,751990496076111873
848539500167004160,384986306
848539500167004160,77436536
848539500167004160,3729520335
848539500167004160,2584784815
814015332,1423906682
814015332,222050461
814015332,2837414492
814015332,899009494507761665
814015332,122445022
814015332,17270684
814015332,2335431
814015332,104710256
814015332,3970895777
814015332,2505634440
814015332,217771939
814015332,16330659
814015332,321783625
814015332,562020929
814015332,1138837704970346497
814015332,1070010671918665728
814015332,1235961957515022338
814015332,942672186032164864
814015332,15261050
814015332,19939208
814015332,15658907
814015332,950636670
814015332,983259737314574337
814015332,18026546
814015332,1091688538586992640
814015332,23927123
814015332,3001907483
814015332,2274625974
814015332,1220359214884904965
814015332,801042537238695936
814015332,1181472815540822016
814015332,4824740248
814015332,84340820
814015332,45545645
814015332,1216150760079200257
814015332,960138019843002369
814015332,3377401715
814015332,76084600
814015332,1307569508
814015332,277532657
814015332,201137229
814015332,3486259881
814015332,740343523
814015332,499054463
814015332,973636307774828551
814015332,870003531335565313
814015332,1179713956623114240
814015332,2488227390
814015332,110446125
814015332,1139160970721406976
814015332,51940609
814015332,869067365157306369
814015332,400458925
814015332,2895802438
814015332,1157733977605603328
814015332,210328371
814015332,1083383932819771392
814015332,792012547301994497
814015332,297736294
814015332,790241310024228864
814015332,902498275
814015332,1057741124104847363
814015332,1167145117452570626
814015332,2810956798
814015332,573341487
814015332,2896712975
814015332,954512356704378880
